Landmark,Road,Landmark_road,Lat,Lon
87,Waiyaki Way,87 Waiyaki Way,-1.257841,36.700929
1824,,1824 ,-1.322725,36.803513
1st Parklands Junction,Masari Rd,1st Parklands Junction Masari Rd,-1.263199,36.815862
1st Parklands Junction,Masari Road,1st Parklands Junction Masari Road,-1.263199,36.815862
87 stage,Waiyaki Way,87 stage Waiyaki Way,-1.257841,36.700929
abc  ,Waiyaki Way,abc   Waiyaki Way,-1.259264,36.776663
ABC Place,Waiyaki Way,ABC Place Waiyaki Way,-1.259264,36.776663
Adams Arcade,Ngong Rd,Adams Arcade Ngong Rd,-1.300039,36.780856
Adams Arcade,Ngong Road,Adams Arcade Ngong Road,-1.300039,36.780856
adams roundabout,,adams roundabout ,-1.300065,36.779716
Agriculture,Waiyaki Way,Agriculture Waiyaki Way,-1.262312,36.726638
Airport junction,Mombasa Rd,Airport junction Mombasa Rd,-1.331118,36.887874
Airport junction,Mombasa Road,Airport junction Mombasa Road,-1.331118,36.887874
Airport junction,Msa Rd,Airport junction Msa Rd,-1.331118,36.887874
Airport junction,Msa Road,Airport junction Msa Road,-1.331118,36.887874
Airtel ,Mombasa Rd,Airtel  Mombasa Rd,-1.325628,36.848217
Airtel ,Mombasa Road,Airtel  Mombasa Road,-1.325628,36.848217
Airtel ,Msa Rd,Airtel  Msa Rd,-1.325628,36.848217
Airtel ,Msa Road,Airtel  Msa Road,-1.325628,36.848217
All Saints Cathedral,Valley Rd,All Saints Cathedral Valley Rd,-1.289307,36.811691
All Saints Cathedral,Valley Road,All Saints Cathedral Valley Road,-1.289307,36.811691
Allsops,Thika Rd,Allsops Thika Rd,-1.244655,36.866928
Allsops,Thika Road,Allsops Thika Road,-1.244655,36.866928
Allsops,Thika Superhighway,Allsops Thika Superhighway,-1.244655,36.866928
Allsops,Thika Super Highway,Allsops Thika Super Highway,-1.244655,36.866928
Allsops,Thika Highway,Allsops Thika Highway,-1.244655,36.866928
Allsops,Thikard,Allsops Thikard,-1.244655,36.866928
Amboseli Road stage,Gitanga Rd,Amboseli Road stage Gitanga Rd,-1.289596,36.760576
Amboseli Road stage,Gitanga Road,Amboseli Road stage Gitanga Road,-1.289596,36.760576
amref,,amref ,-1.31966,36.810283
AP ,Eastern Bypass,AP  Eastern Bypass,-1.28714,36.95308
APTC,Eastern Bypass,APTC Eastern Bypass,-1.28714,36.95308
arboretum,oliotoktok road,arboretum oliotoktok road,-1.274246,36.800477
arboretum,oliotoktok rd,arboretum oliotoktok rd,-1.274246,36.800477
arboretum,ring road ,arboretum ring road ,-1.274246,36.800477
Argwings Kodhek roundabout,Argwings Kodhek Rd,Argwings Kodhek roundabout Argwings Kodhek Rd,-1.295204,36.802412
Argwings Kodhek roundabout,Argwings Kodhek Road,Argwings Kodhek roundabout Argwings Kodhek Road,-1.295204,36.802412
Argwings Kodhek roundabout,Argwings Kodhek,Argwings Kodhek roundabout Argwings Kodhek,-1.295204,36.802412
ASL store,Lusaka Rd,ASL store Lusaka Rd,-1.297065,36.839008
ASL store,Lusaka Road,ASL store Lusaka Road,-1.297065,36.839008
Athi River steel plant,Mombasa Rd,Athi River steel plant Mombasa Rd,-1.452076,37.000676
Athi River steel plant,Mombasa Road,Athi River steel plant Mombasa Road,-1.452076,37.000676
Athi River steel plant,Msa Rd,Athi River steel plant Msa Rd,-1.452076,37.000676
Athi River steel plant,Msa Road,Athi River steel plant Msa Road,-1.452076,37.000676
Avon,Enterprise Rd,Avon Enterprise Rd,-1.302915,36.838374
Avon,Enterprise Road,Avon Enterprise Road,-1.302915,36.838374
Baba Dogo,Outer Ring Rd,Baba Dogo Outer Ring Rd,-1.247114,36.87242
Baba Dogo,Outer Ring Road,Baba Dogo Outer Ring Road,-1.247114,36.87242
Baba Dogo,Outer Ring Rd,Baba Dogo Outer Ring Rd,-1.247114,36.87242
Baba Dogo,Outering Road,Baba Dogo Outering Road,-1.247114,36.87242
Bama,Jogoo Rd,Bama Jogoo Rd,-1.292439,36.84409
Bama,Jogoo Road,Bama Jogoo Road,-1.292439,36.84409
bamburi cement,Mombasa Rd,bamburi cement Mombasa Rd,-1.429609,36.961773
Banda gate,Magadi Rd,Banda gate Magadi Rd,-1.365462,36.766537
Banda gate,Magadi Road,Banda gate Magadi Road,-1.365462,36.766537
Banda schl,Magadi Rd,Banda schl Magadi Rd,-1.365581,36.766632
Banda schl,Magadi Road,Banda schl Magadi Road,-1.365581,36.766632
Banda school,Magadi Rd,Banda school Magadi Rd,-1.365581,36.766632
Banda school,Magadi Road,Banda school Magadi Road,-1.365581,36.766632
Bangra,Magadi Rd,Bangra Magadi Rd,-1.390538,36.766884
Bangra,Magadi Road,Bangra Magadi Road,-1.390538,36.766884
Barclays,Waiyaki Way,Barclays Waiyaki Way,-1.259307,36.784276
Barclay's ,Waiyaki Way,Barclay's  Waiyaki Way,-1.259307,36.784276
barracks,Waiyaki Way,barracks Waiyaki Way,-1.258955,36.778309
BAT,Likoni Rd,BAT Likoni Rd,-1.304765,36.856105
BAT,Likoni Road,BAT Likoni Road,-1.304765,36.856105
bebabeba,Moi Ave,bebabeba Moi Ave,-1.283358,36.823458
Belgian Embassy,Limuru Rd,Belgian Embassy Limuru Rd,-1.247552,36.815923
Belgian Embassy,Limuru Road,Belgian Embassy Limuru Road,-1.247552,36.815923
Bellevue,Mombasa Rd,Bellevue Mombasa Rd,-1.319443,36.837845
Bellevue,Mombasa Road,Bellevue Mombasa Road,-1.319443,36.837845
Bellevue,Msa Rd,Bellevue Msa Rd,-1.319443,36.837845
Bellevue,Msa Road,Bellevue Msa Road,-1.319443,36.837845
