id,created,text,lat,long,category,geom
7.08864e+17,3/13/2016 3:57,"06:56 @KenyaRedCross bad accident on Waiyaki Way near Nairobi School, please send help. via @KijanaMkenya",-1.262821,36.764784000000006,accident,SRID=4326;POINT(-1.262821 36.764784)
7.08856e+17,3/13/2016 3:24,06:23 ma3route there is an accident along msa road @Gm. Kuna msee amegogwa na ma3 ya 14seater. He is having serious injuries via @johni_baha,-1.180448,36.939088,accident,SRID=4326;POINT(-1.180448 36.939088)
7.08802e+17,3/12/2016 23:48,"02:47 Accident, Langata road. Pedestrian killed. @  https://t.co/DPVKkJJdf3 via @tycoontraffic",-1.249806,36.846795,accident,SRID=4326;POINT(-1.249806 36.846795)
7.08774e+17,3/12/2016 21:56,00:55 are people blowing on KIAMBU ROAD? via @Skamwati,NONE,NONE,NONE,SRID=4326;POINT(NONE NONE)
7.08763e+17,3/12/2016 21:14,00:14 someone knocked down and died on the spot at Langata road next to rafikis club...a life lost tonight via @1_samba,NONE,NONE,NONE,SRID=4326;POINT(NONE NONE)
7.08761e+17,3/12/2016 21:07,00:07 accident at the Junction towards Carnivore. Motorists speedi~more ⇢ https://t.co/AcdFObQl2h https://t.co/6zd5nwh2SX via @CalebManywele,-1.298857,36.762126000000002,accident,SRID=4326;POINT(-1.298857 36.762126)
7.08759e+17,3/12/2016 20:58,23:57 @IkeOjuok The inhuman acts by police are just a projection of the barely human big shot r~more ⇢ https://t.co/iJPp1UZZo0 via @tiusteng,NONE,NONE,NONE,SRID=4326;POINT(NONE NONE)
7.08754e+17,3/12/2016 20:37,23:37 SHARE and remind a family member or a friend  https://t.co/Zocuh2gguz via @MombasaCGW,NONE,NONE,NONE,SRID=4326;POINT(NONE NONE)
7.08748e+17,3/12/2016 20:16,23:15 FYA  https://t.co/zf57m5lq2P via @IkeOjuok,NONE,NONE,NONE,SRID=4326;POINT(NONE NONE)
7.08748e+17,3/12/2016 20:15,23:15 The wreckage of the #SubuigaAccident  https://t.co/lPjO7ZuhW7 via @Ndeshmo,-1.249806,36.846795,accident,SRID=4326;POINT(-1.249806 36.846795)
